"entidad","municipio","causa","total_hectareas","fecha_termino"
"Puebla","Tlahuapan","Fumadores",4.26,2016-02-15
"Puebla","Tianguismanalco","Otras causas",50,2016-02-16
"Puebla","Tepeyahualco","Intencional",1,2016-02-15
"Puebla","Tepatlaxco de Hidalgo","Intencional",1.82,2016-02-15
"Puebla","Tochtepec","Limpias de derecho de vía",0.88,2016-02-15
"Puebla","Zacapoaxtla","Fogatas",3.85,2016-02-16
"Puebla","Tlachichuca","Intencional",4.64,2016-02-16
"Puebla","Tlachichuca","Intencional",10.3,2016-02-16
"Puebla","Tepatlaxco de Hidalgo","Actividades agropecuarias",8.5,2016-02-16
"Puebla","Cuyoaco","Intencional",1.15,2016-02-16
"Puebla","San Juan Atenco","Quema de basureros",1,2016-02-16
"Puebla","Tlahuapan","Actividades agropecuarias",40,2016-02-16
"Puebla","Tepatlaxco de Hidalgo","Actividades agropecuarias",52.4,2016-02-17
"Puebla","Acajete","Intencional",13.6,2016-02-17
"Puebla","San Nicolás de los Ranchos","Otras causas",2,2016-02-17
"Puebla","Tlahuapan","Fogatas",3,2016-02-17
"Puebla","Tochtepec","Limpias de derecho de vía",27.85,2016-02-18
"Puebla","Zacatlán","Intencional",2,2016-02-17
"Puebla","Tianguismanalco","Actividades agropecuarias",16.3,2016-02-17
"Puebla","Santo Tomás Hueyotlipan","Otras causas",2,2016-02-17
"Puebla","Santo Tomás Hueyotlipan","Otras causas",1,2016-02-17
"Puebla","Tlahuapan","Actividades agropecuarias",1.5,2016-02-17
"Puebla","Tianguismanalco","Intencional",39.1,2016-02-18
"Puebla","Tlachichuca","Actividades agropecuarias",6.11,2016-02-18
"Puebla","Tlachichuca","Actividades agropecuarias",46.1,2016-02-18
"Puebla","Libres","Intencional",50.3,2016-02-18
"Puebla","Tochimilco","Fogatas",7.67,2016-02-18
"Puebla","Tepeaca","Otras causas",1,2016-02-18
"Puebla","San Nicolás de los Ranchos","Intencional",2,2016-02-18
"Puebla","Amozoc","Intencional",5.04,2016-02-18
"Puebla","San Pedro Cholula","Fogatas",12,2016-02-18
"Puebla","Atlixco","Intencional",3,2016-02-18
"Puebla","San Nicolás Buenos Aires","Actividades agropecuarias",2,2016-02-18
"Puebla","Tepatlaxco de Hidalgo","Intencional",1,2016-02-18
"Puebla","Zacapoaxtla","Intencional",2.8,2016-02-19
"Puebla","Tochimilco","Intencional",10.75,2016-02-19
"Puebla","San Nicolás de los Ranchos","Actividades agropecuarias",2.87,2016-02-19
"Puebla","Libres","Intencional",1,2016-02-19
"Puebla","Tepeyahualco","Intencional",12.55,2016-02-19
"Puebla","Zautla","Intencional",1,2016-02-19
"Puebla","Tochimilco","Actividades agropecuarias",12.1,2016-02-19
"Puebla","San Nicolás de los Ranchos","Actividades agropecuarias",2,2016-02-19
"Puebla","San Nicolás de los Ranchos","Actividades agropecuarias",17,2016-02-20
"Puebla","Atlixco","Otras causas",1,2016-02-20
"Puebla","Lafragua","Intencional",1,2016-02-20
"Puebla","Amozoc","Actividades agropecuarias",2.5,2016-02-20
"Puebla","Tepatlaxco de Hidalgo","Intencional",5.8,2016-02-20
"Puebla","Chiautzingo","Actividades agropecuarias",3,2016-02-21
"Puebla","Zacatlán","Intencional",4,2016-02-21
"Puebla","Guadalupe Victoria","Cazadores",1.7,2016-02-21
"Puebla","Ocotepec","Intencional",12.8,2016-02-22
"Puebla","Zacatlán","Intencional",2,2016-02-22
"Puebla","Amozoc","Actividades agropecuarias",1,2016-02-22
"Puebla","San Pedro Cholula","Intencional",1,2016-02-22
"Puebla","Tlachichuca","Actividades agropecuarias",34,2016-02-22
"Puebla","Chignautla","Intencional",5.5,2016-02-22
"Puebla","Cohetzala","Intencional",147,2016-02-14
