"entidad","tipo_de_fuente","pm_25","co","so2","nox"
"Puebla","Fuentes de área",22.622,161.398,0.846,5.613
"Puebla","Fuentes móviles carreteros",1.067,157.164,0.731,27.232
"Puebla","Fuentes móviles que no circulan por carretera",0.104,0.566,0.061,1.758
"Puebla","Fuentes de área",26.967,158.322,0.588,7.481
"Puebla","Fuentes móviles carreteros",7.929,403.776,2.734,104.204
"Puebla","Fuentes móviles que no circulan por carretera",1.723,7.963,0.758,67.684
"Puebla","Fuentes de área",90.546,640.838,2.258,19.028
"Puebla","Fuentes móviles carreteros",2.568,179.254,1.024,38.719
"Puebla","Fuentes móviles que no circulan por carretera",1.018,5.528,0.601,17.175
"Puebla","Fuentes de área",34.431,219.462,0.774,9.201
"Puebla","Fuentes móviles carreteros",6.489,512.609,2.911,114.03
"Puebla","Fuentes móviles que no circulan por carretera",0.359,1.948,0.212,6.051
"Puebla","Fuentes de área",29.549,200.195,0.714,6.24
"Puebla","Fuentes móviles carreteros",3.295,371.888,1.861,72.562
"Puebla","Fuentes móviles que no circulan por carretera",0.255,1.385,0.15,4.302
"Puebla","Fuentes de área",38.261,225.04,0.91,9.526
"Puebla","Fuentes móviles carreteros",7.742,335.776,2.424,92.926
"Puebla","Fuentes móviles que no circulan por carretera",0.47,2.554,0.278,7.934
"Puebla","Fuentes de área",41.34,344.987,1.193,9.763
"Puebla","Fuentes móviles carreteros",0.819,15.113,0.203,7.657
"Puebla","Fuentes móviles que no circulan por carretera",0.087,0.47,0.051,1.46
"Puebla","Fuentes de área",114.444,758.282,2.861,24.348
"Puebla","Fuentes móviles carreteros",5.062,743.994,3.44,132.27
"Puebla","Fuentes móviles que no circulan por carretera",4.155,23.674,1.888,75.435
"Puebla","Fuentes de área",33.538,256.587,0.892,7.911
"Puebla","Fuentes móviles carreteros",0.999,174.376,0.759,29.3
"Puebla","Fuentes móviles que no circulan por carretera",0.161,0.875,0.095,2.718
"Puebla","Fuentes fijas",0,3.483,2.962,64.47
"Puebla","Fuentes de área",162.5,1306.323,4.675,53.563
"Puebla","Fuentes móviles carreteros",91.653,3231.249,26.683,979.921
"Puebla","Fuentes móviles que no circulan por carretera",0.2,1.083,0.118,3.365
"Puebla","Fuentes de área",88.97,740.069,2.585,21.033
"Puebla","Fuentes móviles carreteros",0.313,71.808,0.305,11.552
"Puebla","Fuentes móviles que no circulan por carretera",0.761,4.53,0.349,9.94
"Puebla","Fuentes de área",41.116,290.406,1.153,9.301
"Puebla","Fuentes móviles carreteros",1.614,230.11,1.106,43.221
"Puebla","Fuentes móviles que no circulan por carretera",0.187,1.014,0.11,3.149
"Puebla","Fuentes fijas",38.182,477.981,175.461,3184.815
"Puebla","Fuentes de área",85.408,522.288,1.991,38.716
"Puebla","Fuentes móviles carreteros",56.563,2440.12,18.233,692.192
"Puebla","Fuentes móviles que no circulan por carretera",1.278,6.127,0.603,44.14
"Puebla","Fuentes de área",53.058,434.841,1.51,13.447
"Puebla","Fuentes móviles carreteros",2.088,141.299,0.841,31.196
"Puebla","Fuentes móviles que no circulan por carretera",0.129,0.7,0.076,2.174
"Puebla","Fuentes fijas",0.014,0.077,0,0.455
"Puebla","Fuentes de área",115.176,889.758,3.09,27.317
"Puebla","Fuentes móviles carreteros",4.212,461.398,2.311,87.35
"Puebla","Fuentes móviles que no circulan por carretera",0.754,4.093,0.445,12.717
"Puebla","Fuentes de área",28.799,236.291,0.818,6.641
"Puebla","Fuentes móviles carreteros",0.096,11.164,0.054,2.127
"Puebla","Fuentes móviles que no circulan por carretera",0.074,0.399,0.043,1.241
"Puebla","Fuentes de área",81.304,686.652,2.377,19.179
"Puebla","Fuentes móviles carreteros",0.374,67.738,0.286,11.271
"Puebla","Fuentes móviles que no circulan por carretera",0.132,0.719,0.078,2.234
"Puebla","Fuentes de área",13.597,85.334,0.336,3.592
"Puebla","Fuentes móviles carreteros",2.635,224.809,1.226,46.498
"Puebla","Fuentes móviles que no circulan por carretera",0.117,0.637,0.069,1.98
"Puebla","Fuentes de área",14.679,121.507,0.42,3.401
"Puebla","Fuentes móviles carreteros",0.002,1.075,0.004,0.163
"Puebla","Fuentes móviles que no circulan por carretera",0.029,0.159,0.017,0.494
"Puebla","Fuentes de área",22.553,154.847,0.55,4.588
"Puebla","Fuentes móviles carreteros",0.841,56.24,0.358,14.376
"Puebla","Fuentes móviles que no circulan por carretera",0.152,0.825,0.09,2.563
"Puebla","Fuentes de área",18.083,105.874,0.385,6.159
"Puebla","Fuentes móviles carreteros",4.181,357.259,1.978,76.68
"Puebla","Fuentes móviles que no circulan por carretera",0.227,1.23,0.134,3.821
"Puebla","Fuentes de área",155.077,1206.906,5.414,35.125
"Puebla","Fuentes móviles carreteros",7.298,497.842,2.914,113.662
"Puebla","Fuentes móviles que no circulan por carretera",0.782,4.246,0.461,13.192
"Puebla","Fuentes de área",35.582,299.135,1.032,8.452
"Puebla","Fuentes móviles carreteros",0.215,35.913,0.157,6.016
"Puebla","Fuentes móviles que no circulan por carretera",0.049,0.267,0.029,0.83
"Puebla","Fuentes fijas",1.492,0.787,81.247,4.615
"Puebla","Fuentes de área",170.622,1155.425,6.935,52.688
"Puebla","Fuentes móviles carreteros",41.114,3317.757,18.697,664.098
"Puebla","Fuentes móviles que no circulan por carretera",2.211,10.602,1.043,76.299
"Puebla","Fuentes de área",68.471,534.869,1.911,15.471
"Puebla","Fuentes móviles carreteros",0.748,103.125,0.484,19.373
"Puebla","Fuentes móviles que no circulan por carretera",0.268,1.452,0.158,4.512
"Puebla","Fuentes de área",79.792,571.418,2.055,17.005
"Puebla","Fuentes móviles carreteros",1.751,149.777,0.796,29.566
"Puebla","Fuentes móviles que no circulan por carretera",0.364,1.976,0.215,6.138
"Puebla","Fuentes de área",24.934,191.108,0.667,5.599
"Puebla","Fuentes móviles carreteros",0.083,40.139,0.153,5.982
"Puebla","Fuentes móviles que no circulan por carretera",0.148,0.804,0.087,2.497
"Puebla","Fuentes de área",62.531,504.542,1.744,14.737
"Puebla","Fuentes móviles carreteros",0.774,44.792,0.287,11.277
"Puebla","Fuentes móviles que no circulan por carretera",0.237,1.284,0.14,3.99
"Puebla","Fuentes de área",605.378,1492.357,5.466,50.786
"Puebla","Fuentes móviles carreteros",20.607,857.337,6.364,238.855
"Puebla","Fuentes móviles que no circulan por carretera",0.08,0.437,0.047,1.356
"Puebla","Fuentes de área",6.867,54.716,0.2,3.845
"Puebla","Fuentes móviles carreteros",1.543,351.573,1.595,58.874
"Puebla","Fuentes móviles que no circulan por carretera",0.002,0.013,0.001,0.04
"Puebla","Fuentes de área",27.425,197.415,0.687,6.516
"Puebla","Fuentes móviles carreteros",1.284,101.655,0.535,20.566
"Puebla","Fuentes móviles que no circulan por carretera",0.647,3.818,0.306,8.722
"Puebla","Fuentes de área",52.722,446.846,2.67,13.444
"Puebla","Fuentes móviles carreteros",7.303,165.215,1.68,64.152
"Puebla","Fuentes móviles que no circulan por carretera",0.274,1.486,0.161,4.616
"Puebla","Fuentes de área",104.061,789.996,4.647,29.704
"Puebla","Fuentes móviles carreteros",13.743,957.628,5.629,214.177
"Puebla","Fuentes móviles que no circulan por carretera",2.836,13.354,1.293,104.56
"Puebla","Fuentes de área",1.888,13.32,0.046,0.435
"Puebla","Fuentes móviles carreteros",0.011,6.722,0.026,1.008
"Puebla","Fuentes móviles que no circulan por carretera",0.014,0.074,0.008,0.231
"Puebla","Fuentes de área",9.668,45.377,0.167,1.94
"Puebla","Fuentes móviles carreteros",0.336,64.155,0.282,10.821
"Puebla","Fuentes móviles que no circulan por carretera",1.18,5.388,0.507,48.275
"Puebla","Fuentes de área",3.756,25.995,0.092,1.097
"Puebla","Fuentes móviles carreteros",0.228,109.243,0.427,16.124
"Puebla","Fuentes móviles que no circulan por carretera",0.028,0.154,0.017,0.478
"Puebla","Fuentes de área",25.988,181.752,0.64,5.803
"Puebla","Fuentes móviles carreteros",1.433,240.114,1.116,44.324
"Puebla","Fuentes móviles que no circulan por carretera",0.198,1.077,0.117,3.347
"Puebla","Fuentes de área",37.82,229.075,1.034,11.185
"Puebla","Fuentes móviles carreteros",10.668,572.977,3.664,137.693
"Puebla","Fuentes móviles que no circulan por carretera",2.22,10.283,0.981,86.513
"Puebla","Fuentes de área",43.093,356.105,1.234,10.233
"Puebla","Fuentes móviles carreteros",2.187,76.39,0.609,22.212
"Puebla","Fuentes móviles que no circulan por carretera",0.101,0.551,0.06,1.711
"Puebla","Fuentes de área",16.682,136.565,0.474,4.002
"Puebla","Fuentes móviles carreteros",0.403,62.39,0.316,12.022
"Puebla","Fuentes móviles que no circulan por carretera",0.029,0.158,0.017,0.49
"Puebla","Fuentes de área",15.598,117.26,0.437,5.756
"Puebla","Fuentes móviles carreteros",8.829,537.169,3.292,124.273
"Puebla","Fuentes móviles que no circulan por carretera",0.063,0.344,0.037,1.069
"Puebla","Fuentes de área",17.577,138.506,0.484,4.656
"Puebla","Fuentes móviles carreteros",5.813,176.334,1.493,56.879
"Puebla","Fuentes móviles que no circulan por carretera",0.058,0.314,0.034,0.974
